Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-01,2020,1,1,,1.2,,-0.9,,0.2,,17.8,,0,,0,,0.8,,0.8,,14,,26,,45,
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-02,2020,1,2,,3.4,,-1.8,,0.8,,17.2,,0,,0,,0,,0,,13,,23,,42,
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-03,2020,1,3,,4.6,,1.1,,2.9,,15.1,,0,,0,T,0,,0,T,10,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-04,2020,1,4,,1.6,,-2,,-0.2,,18.2,,0,,0,,0.4,,0.4,,5,,3,,32,
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-05,2020,1,5,,-1.7,,-12.3,,-7,,25,,0,,0,,0,T,0,T,5,,29,,48,
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-06,2020,1,6,,-4.7,,-12.7,,-8.7,,26.7,,0,,0,,3,,2.6,,5,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-07,2020,1,7,,-2.2,,-8,,-5.1,,23.1,,0,,0,,0.2,,0.2,,7,,26,,41,
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-08,2020,1,8,,-0.1,,-11.5,,-5.8,,23.8,,0,,0,,2,,2,,7,,28,,58,
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-09,2020,1,9,,-8.4,,-16.2,,-12.3,,30.3,,0,,0,,0,,0,,8,,26,,48,
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-10,2020,1,10,,2.7,,-10.3,,-3.8,,21.8,,0,,0,,0,T,0,T,8,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-11,2020,1,11,,6.5,,-3.7,,1.4,,16.6,,0,,43.4,,0.8,,44.2,,5,,3,,68,
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-12,2020,1,12,,-3.7,,-9.8,,-6.8,,24.8,,0,,6.4,,10.2,,15.8,,5,,5,,68,
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-13,2020,1,13,,-7.2,,-10.2,,-8.7,,26.7,,0,,0,,0,T,0,T,8,,,,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-14,2020,1,14,,-5.7,,-7.3,,-6.5,,24.5,,0,,0,,2,,1.6,,7,,5,,37,
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-15,2020,1,15,,0.5,,-6.9,,-3.2,,21.2,,0,,0,,0,T,0,T,8,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-16,2020,1,16,,-0.4,,-13.7,,-7.1,,25.1,,0,,0,,4.2,,4.6,,9,,33,,52,
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-17,2020,1,17,,-13.7,,-19.8,,-16.8,,34.8,,0,,0,,0,,0,,9,,24,,39,
-73.74,45.47,MONTREAL INTL A,7025251,2020-01-18,2020,1,18,,-13.3,,-18.3,,-15.8,,33.8,,0,,0,,12.4,,12.4,,9,,5,,46,
